video_id,title,month,view_count,source_file,description,upload_date_raw
M-hRcBItxqs,Hamas fighters enter Israel in huge operation | AJ #shorts,2023-10,1766525,AJ,"Hamas has launched ‘Operation Al-Aqsa Flood’ against Israel – the biggest armed offensive in decades. Videos show Palestinian fighters ‘infiltrating’ Israeli territory from Gaza, by land and air, where they are reported to have captured Israeli soldiers. 

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-07T08:17:25Z
EFcHwgZgKCo,Palestinian fighters enter Israeli areas,2023-10,1920889,TRT,"After Hamas launched an attack on Israel, a large number of Palestinian fighters crossed the border and captured tanks.
#gaza #hamas #israel 

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-07T08:24:22Z
bYMU8obvTiE,Israel says they have begun strike in Gaza on ‘Hamas targets’,2023-10,589114,TRT,"The Israel Defense Forces say they have begun strikes on Hamas targets in Gaza in response to the barrages of rockets launched.

Israel has declared ‘a state of readiness’ for war after Palestinian ruling group Hamas launched an unprecedented military operation against Israel, infiltrating from sea, land and air into Israeli residential areas under the cover of thousands of rockets.


Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-07T10:07:16Z
umpzd2-SBfw,Netanyahu says Israel at war as Hamas attacks | DW News,2023-10,50180,DW,"Israeli Prime Minister Benjamin Netanyahu said Israel was ""at war"" after Hamas launched a large-scale attack on the country. 

""We will win,"" Netanyahu added in his video address from military headquarters in Tel Aviv.

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
►Twitch: https://www.twitch.tv/dwnews_hangout
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch

#israel #hamas #gaza",10/7/2023 10:47
Oj5dZx3vEMU,Hamas fighters share video of Israeli military camp,2023-10,690480,TRT,"Palestinian resistance group Hamas has released a video that they claim shows the interior of an Israeli military base.

In the early hours of October 7, Hamas fighters raided Israeli bases in the region under the cover of thousands of rockets, catching the Israeli security apparatus off guard.

Israeli army spokesman Rear Adm. Daniel Hagari stated that more than 2200 rockets have been fired into Israel since 03:30 GMT, according to the local news outlet Times of Israel.

Hagari also noted that Hamas fighters infiltrated from land, air and sea.
The Israeli army has announced military operations in response to an unprecedented military action by Hamas in blockaded Gaza, targeting Israel.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-07T11:54:13Z
HscCIWY1Q2Y,Israeli strikes destroy residential buildings in Palestine’s Gaza,2023-10,9188363,TRT,"Residential buildings were destroyed in Israel’s attack on the besieged Gaza on Saturday, October 7.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-07T17:17:23Z
q-r04wDic4E,Hezbollah claims responsibility for attacking Israeli site,2023-10,668483,TRT,"Lebanon's Hezbollah has claimed responsibility for a rocket and artillery attack on Shebaa Farms, an area occupied by Israel, saying it was ""in solidarity"" with the Palestinian people.

In retaliation, Israel fired artillery into southern Lebanon.

Israel declared war against Palestinian military group Hamas after they initiated a rapid military operation against Israel. More than 500 people have been killed on both sides so far.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-08T07:56:16Z
G32op4xjb8Q,Gaza strip latest update,2023-10,135903,AJ,"Gaza Strip latest update
In this video, we'll give you the latest updates on the Gaza strip, where Israel is continuing its bombardment.

As the Gaza strip continues to suffer from Israeli bombardment, we want to share with you the latest information on the situation. Get the latest updates on the Gaza Strip",2023-10-08T09:28:58Z
FWi3_pQC7T0,Extent of destruction caused by Israeli bombardements  | AJ #shorts,2023-10,121312,AJ,,2023-10-08T10:02:47Z
9gaZ3WTw3x0,Gaza-Israel Conflict Sunday morning |  AJ #shorts,2023-10,132861,AJ,,2023-10-08T10:28:38Z
