title,video_id,frame_index,frame_file,abstain,scene_type,text_overlay,evidence,raw_response,upload_date_parsed,month,upload_date,Manual_evaluation
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,1,AJ0016_0001.jpg,FALSE,symbolic_or_religious_ritual,present,"15,000 Palestinian flags planted as memorial; Sign reading 'Palestine'","{
  ""frame_id"": ""image_001"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""15,000 Palestinian flags planted as memorial"", ""Sign reading 'Palestine'""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Activists unfurl giant Palestinian flag at top of Northern Ireland hill | AJ #shorts.webm,AJ0025,1,AJ0025_0001.jpg,FALSE,symbolic_or_religious_ritual,present,giant Palestinian flag unfurled on hill; activists' action at top of Northern Ireland hill,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""giant Palestinian flag unfurled on hill"",
    ""activists' action at top of Northern Ireland hill""
  ]
}",9/17/2024 8:28,9/1/2024,2024-09-17T08:28:59Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,1,AJ0060_0001.jpg,FALSE,other_or_unknown,present,BAFTA award ceremony; formal attire at podium,"{
  ""frame_id"": ""1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""BAFTA award ceremony"", ""formal attire at podium""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,1,AJ0062_0001.jpg,FALSE,other_or_unknown,present,Group of people gathered around a person with a baby covered in blanket; Text overlay stating 'Baby girl rescued from dead mother's womb dies',"{
  ""frame_id"": ""image_1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Group of people gathered around a person with a baby covered in blanket"",
    ""Text overlay stating 'Baby girl rescued from dead mother's womb dies'""
  ]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,2,AJ0016_0002.jpg,FALSE,symbolic_or_religious_ritual,present,"15,000 Palestinian flags planted in memorial; Sign with 'PALESTIN'","{
  ""frame_id"": ""frame_01"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""15,000 Palestinian flags planted in memorial"",
    ""Sign with 'PALESTIN'""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Activists unfurl giant Palestinian flag at top of Northern Ireland hill | AJ #shorts.webm,AJ0025,2,AJ0025_0002.jpg,FALSE,symbolic_or_religious_ritual,present,giant Palestinian flag; activists unfurling,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""giant Palestinian flag"",
    ""activists unfurling""
  ]
}",9/17/2024 8:28,9/1/2024,2024-09-17T08:28:59Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,2,AJ0060_0002.jpg,FALSE,other_or_unknown,present,People in formal attire at an awards event; BAFTA Film Awards branding and date overlay,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""other_or_unknown""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""People in formal attire at an awards event"",
    ""BAFTA Film Awards branding and date overlay""
  ]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,2,AJ0062_0002.jpg,TRUE,other_or_unknown,present,People gathered around a child; Text overlay describing a baby girl's rescue,"{
  ""frame_id"": ""string"",
  ""abstain"": ""false"",
  ""scene_type"": [
    ""other_or_unknown""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""People gathered around a child"",
    ""Text overlay describing a baby girl's rescue""
  ]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
Biden 'unwilling' to use leverage on Israel to force ceasefire | Quotable.webm,AJ0064,2,AJ0064_0002.jpg,FALSE,other_or_unknown,present,text 'QUOTABLE' in quotation marks; dark green patterned background,"{
  ""frame_id"": ""image_0"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""text 'QUOTABLE' in quotation marks"", ""dark green patterned background""]
}",8/28/2024 6:52,8/1/2024,2024-08-28T06:52:35Z,FALSE
Biden hopes for a Gaza ceasefire by Monday | AJ #shorts.webm,AJ0067,2,AJ0067_0002.jpg,FALSE,other_or_unknown,present,US President holding ice cream; Indoor setting with text overlay,"{
  ""frame_id"": ""1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""US President holding ice cream"", ""Indoor setting with text overlay""]
}",2/27/2024 7:14,2/1/2024,2024-02-27T07:14:33Z,TRUE
Biden’s ‘ironclad’ commitment to Israel has split democrat base | Quotable.webm,AJ0076,2,AJ0076_0002.jpg,FALSE,other_or_unknown,present,text 'QUOTABLE' in quotation marks; dark textured background resembling code,"{
  ""frame_id"": ""unknown"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""text 'QUOTABLE' in quotation marks"", ""dark textured background resembling code""]
}",8/18/2024 21:30,8/1/2024,2024-08-18T21:30:00Z,FALSE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,3,AJ0016_0003.jpg,FALSE,symbolic_or_religious_ritual,present,"15,000 Palestinian flags planted as memorial; sign with PALESTINE and Arabic text","{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""15,000 Palestinian flags planted as memorial"",
    ""sign with PALESTINE and Arabic text""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Arrests over secret tunnel at New York synagogue.webm,AJ0054,3,AJ0054_0003.jpg,FALSE,symbolic_or_religious_ritual,present,"Religious building interior (synagogue) with ornate structure; People wearing traditional religious attire (black hats, coats)","{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Religious building interior (synagogue) with ornate structure"",
    ""People wearing traditional religious attire (black hats, coats)""
  ]
}",1/10/2024 11:15,1/1/2024,2024-01-10T11:15:32Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,3,AJ0060_0003.jpg,FALSE,other_or_unknown,present,Formal evening attire; BAFTA Film Awards event,"{
  ""frame_id"": ""img_1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Formal evening attire"", ""BAFTA Film Awards event""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,3,AJ0062_0003.jpg,TRUE,other_or_unknown,present,people gathered; baby rescue text overlay,"{
  ""frame_id"": ""image_0"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""people gathered"", ""baby rescue text overlay""]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
Biden hopes for a Gaza ceasefire by Monday | AJ #shorts.webm,AJ0067,3,AJ0067_0003.jpg,FALSE,other_or_unknown,present,US President holding ice cream cone; Casual indoor setting with text overlay,"{
  ""frame_id"": ""0"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""US President holding ice cream cone"", ""Casual indoor setting with text overlay""]
}",2/27/2024 7:14,2/1/2024,2024-02-27T07:14:33Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,4,AJ0016_0004.jpg,FALSE,symbolic_or_religious_ritual,present,"15,000 flags planted in memorial; cityscape background with memorial seating","{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [""15,000 flags planted in memorial"", ""cityscape background with memorial seating""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
